0	0.425525
0.001667	0.473959	
0.003333	0.473444	
0.005	0.47383	
0.006667	0.473057	
0.008333	0.47441	
0.01	0.47441	
0.011667	0.474667	
0.013333	0.474281	
0.015	0.474216	
0.016667	0.475569	
0.018333	0.4728	
0.02	0.474216	
0.021666	0.474539	
0.023333	0.473766	
0.025	0.474023	
0.026666	0.474281	
0.028333	0.47325	
0.03	0.472864	
0.031666	0.473894	
0.033333	0.473959	
0.035	0.475505	
0.036666	0.473572	
0.038333	0.473122	
0.04	0.474603	
0.041666	0.473637	
0.043333	0.474088	
0.045	0.473057	
0.046666	0.474989	
0.048333	0.475183	
0.05	0.474345	
0.051666	0.47325	
0.053333	0.47441	
0.054999	0.474861	
0.056666	0.47441	
0.058333	0.474989	
0.059999	0.474474	
0.061666	0.474796	
0.063333	0.474088	
0.064999	0.473572	
0.066666	0.473379	
0.068333	0.473508	
0.069999	0.474023	
0.071666	0.473508	
0.073333	0.473572	
0.074999	0.474345	
0.076666	0.474216	
0.078333	0.474732	
0.079999	0.47325	
0.081666	0.474088	
0.083333	0.474732	
0.084999	0.473894	
0.086666	0.474088	
0.088332	0.473766	
0.089999	0.474152	
0.091666	0.474474	
0.093332	0.473637	
0.094999	0.474023	
0.096666	0.474732	
0.098332	0.474216	
0.099999	0.473894	
0.101666	0.474023	
0.103332	0.473637	
0.104999	0.473959	
0.106666	0.473959	
0.108332	0.475376	
0.109999	0.47325	
0.111666	0.472864	
0.113332	0.474216	
0.114999	0.475118	
0.116666	0.47325	
0.118332	0.474539	
0.119999	0.474281	
0.121665	0.474088	
0.123332	0.473637	
0.124999	0.475762	
0.126665	0.474861	
0.128332	0.474603	
0.129999	0.474603	
0.131665	0.473894	
0.133332	0.47441	
0.134999	0.474603	
0.136665	0.473766	
0.138332	0.474152	
0.139999	0.474281	
0.141665	0.474281	
0.143332	0.473766	
0.144999	0.474989	
0.146665	0.473701	
0.148332	0.473379	
0.149999	0.474474	
0.151665	0.474281	
0.153332	0.473444	
0.154998	0.47441	
0.156665	0.474281	
0.158332	0.474603	
0.159998	0.473315	
0.161665	0.472928	
0.163332	0.473637	
0.164998	0.474667	
0.166665	0.474281	
0.168332	0.473959	
0.169998	0.474281	
0.171665	0.474152	
0.173332	0.473444	
0.174998	0.473894	
0.176665	0.473959	
0.178332	0.474152	
0.179998	0.473766	
0.181665	0.474281	
0.183332	0.473508	
0.184998	0.47325	
0.186665	0.473701	
0.188331	0.47441	
0.189998	0.474023	
0.191665	0.473637	
0.193331	0.474023	
0.194998	0.474603	
0.196665	0.473701	
0.198331	0.473701	
0.199998	0.473766	
0.201665	0.473637	
0.203331	0.474861	
0.204998	0.475183	
0.206665	0.473508	
0.208331	0.474023	
0.209998	0.473766	
0.211665	0.474667	
0.213331	0.474474	
0.214998	0.473894	
0.216665	0.47441	
0.218331	0.474023	
0.219998	0.474281	
0.221664	0.474667	
0.223331	0.474603	
0.224998	0.475311	
0.226664	0.474152	
0.228331	0.473186	
0.229998	0.473959	
0.231664	0.474152	
0.233331	0.474539	
0.234998	0.473186	
0.236664	0.474925	
0.238331	0.474345	
0.239998	0.474925	
0.241664	0.474925	
0.243331	0.474539	
0.244998	0.474216	
0.246664	0.473508	
0.248331	0.475376	
0.249998	0.473186	
0.251664	0.473444	
0.253331	0.473572	
0.254997	0.473959	
0.256664	0.474216	
0.258331	0.474088	
0.259997	0.473444	
0.261664	0.473766	
0.263331	0.474989	
0.264997	0.473508	
0.266664	0.473444	
0.268331	0.474023	
0.269997	0.474345	
0.271664	0.474732	
0.273331	0.472928	
0.274997	0.474667	
0.276664	0.474152	
0.278331	0.473508	
0.279997	0.473444	
0.281664	0.473959	
0.28333	0.475118	
0.284997	0.474603	
0.286664	0.474216	
0.28833	0.473637	
0.289997	0.473508	
0.291664	0.474474	
0.29333	0.47441	
0.294997	0.474539	
0.296664	0.474152	
0.29833	0.473894	
0.299997	0.474152	
0.301664	0.474152	
0.30333	0.47441	
0.304997	0.47383	
0.306664	0.473637	
0.30833	0.472993	
0.309997	0.47325	
0.311664	0.473572	
0.31333	0.473508	
0.314997	0.47441	
0.316663	0.474345	
0.31833	0.474345	
0.319997	0.474732	
0.321663	0.47383	
0.32333	0.473508	
0.324997	0.473894	
0.326663	0.473508	
0.32833	0.473122	
0.329997	0.473315	
0.331663	0.473894	
0.33333	0.474925	
0.334997	0.474152	
0.336663	0.474861	
0.33833	0.472671	
0.339997	0.473959	
0.341663	0.473508	
0.34333	0.475698	
0.344997	0.474796	
0.346663	0.474474	
0.34833	0.473766	
0.349996	0.473637	
0.351663	0.473508	
0.35333	0.472864	
0.354996	0.473508	
0.356663	0.473572	
0.35833	0.474152	
0.359996	0.474281	
0.361663	0.473766	
0.36333	0.47383	
0.364996	0.474925	
0.366663	0.474088	
0.36833	0.473701	
0.369996	0.473637	
0.371663	0.474474	
0.37333	0.474088	
0.374996	0.47325	
0.376663	0.473186	
0.37833	0.474088	
0.379996	0.473766	
0.381663	0.474152	
0.383329	0.473379	
0.384996	0.47383	
0.386663	0.474345	
0.388329	0.473766	
0.389996	0.474989	
0.391663	0.474088	
0.393329	0.475054	
0.394996	0.472928	
0.396663	0.474152	
0.398329	0.474281	
0.399996	0.473444	
0.401663	0.473379	
0.403329	0.474152	
0.404996	0.474216	
0.406663	0.472993	
0.408329	0.47441	
0.409996	0.474088	
0.411663	0.472542	
0.413329	0.473959	
0.414996	0.473315	
0.416662	0.474023	
0.418329	0.474603	
0.419996	0.474732	
0.421662	0.474023	
0.423329	0.473315	
0.424996	0.473186	
0.426662	0.47383	
0.428329	0.473894	
0.429996	0.472606	
0.431662	0.47441	
0.433329	0.474732	
0.434996	0.473122	
0.436662	0.473572	
0.438329	0.473315	
0.439996	0.474539	
0.441662	0.474023	
0.443329	0.473766	
0.444996	0.474861	
0.446662	0.47383	
0.448329	0.474023	
0.449995	0.474539	
0.451662	0.473701	
0.453329	0.474216	
0.454995	0.474216	
0.456662	0.474861	
0.458329	0.47441	
0.459995	0.474023	
0.461662	0.473894	
0.463329	0.474603	
0.464995	0.474796	
0.466662	0.472993	
0.468329	0.473057	
0.469995	0.473572	
0.471662	0.474539	
0.473329	0.475183	
0.474995	0.474281	
0.476662	0.47441	
0.478329	0.47383	
0.479995	0.475698	
0.481662	0.473637	
0.483328	0.474345	
0.484995	0.474281	
0.486662	0.473637	
0.488328	0.473186	
0.489995	0.473701	
0.491662	0.473315	
0.493328	0.47441	
0.494995	0.474345	
0.496662	0.473444	
0.498328	0.473959
