Frequency - Fase	Phase - Fase	
200,026009	181,685	
201,905349	181,645	
203,976399	181,603	
206,070742	181,524	
208,125739	181,517	
210,390478	181,432	
212,467545	181,389	
214,549885	181,326	
216,833095	181,216	
218,858945	181,23	
221,130339	181,151	
223,333873	181,155	
225,570299	181,08	
227,797327	-178,958	
230,041611	-178,992	
232,471001	-179,043	
234,676121	-179,049	
237,064041	-179,047	
239,326068	-179,131	
241,727739	-179,137	
244,129966	-179,185	
246,541313	-179,178	
249,113534	-179,181	
251,535296	-179,217	
253,945301	-179,244	
256,54575	-179,275	
259,148166	-179,308	
261,752341	-179,347	
264,362363	-179,391	
266,96074	-179,424	
269,573317	-179,479	
272,361164	-179,527	
274,973604	-179,574	
277,765783	-179,637	
280,569275	-179,685	
283,361695	-179,729	
286,147428	-179,761	
289,125535	-179,825	
291,923126	-179,849	
294,887389	-179,864	
297,866138	-179,917	
300,83706	-179,938	
303,811808	181,306	
306,788682	181,31	
309,961635	181,287	
312,925979	181,308	
316,096724	181,315	
319,256515	181,325	
322,430334	181,306	
325,590563	181,315	
328,934693	181,322	
332,299673	181,302	
335,462095	181,325	
338,812776	181,309	
342,36408	181,297	
345,707055	181,291	
349,247898	181,324	
352,601484	181,315	
356,143173	181,28	
359,676609	181,274	
363,405889	181,295	
366,943164	181,306	
370,674445	181,324	
374,398833	181,288	
378,117351	-178,678	
381,851464	-178,709	
385,76506	-178,709	
389,490137	-178,7	
393,398076	-178,683	
397,308702	-178,687	
401,409314	-178,68	
405,319369	-178,672	
409,415968	-178,673	
413,511473	-178,697	
417,611902	-178,679	
421,895997	-178,706	
425,98967	-178,7	
430,272678	-178,691	
434,560038	-178,673	
439,021176	-178,672	
443,316822	-178,688	
447,782821	-178,679	
452,257745	-178,695	
456,72043	181,32	
461,384652	181,313	
466,038073	181,336	
470,687142	181,33	
475,351355	181,319	
480,005326	181,333	
484,849376	181,328	
489,694934	181,325	
494,533492	181,336	
499,563423	181,335	
504,58913	181,35	
509,620359	181,332	
514,650259	181,347	
519,871227	181,344	
525,079777	181,334	
530,302144	-178,655	
535,700559	-178,654	
540,917964	-178,66	
546,31623	-178,657	
551,902972	-178,661	
557,310141	-178,673	
562,893511	-178,658	
568,484839	-178,642	
574,255214	-178,631	
580,029098	-178,636	
585,809507	-178,652	
591,57314	-178,654	
597,530274	-178,619	
603,494594	-178,645	
609,643961	181,376	
615,611252	181,35	
621,756686	181,366	
628,085619	181,354	
634,23022	181,393	
640,752432	181,376	
647,085713	181,382	
653,605292	181,374	
660,121259	181,382	
666,640968	181,371	
673,345764	181,387	
680,052782	181,385	
686,950561	-178,635	
693,835325	-178,616	
700,730392	-178,625	
707,619761	-178,614	
714,699618	-178,606	
721,960626	-178,585	
729,224158	-178,59	
736,49401	-178,584	
743,765503	-178,624	
751,212491	-178,57	
758,661455	181,432	
766,292324	181,405	
773,929573	181,419	
781,754006	181,448	
789,57947	181,407	
797,405279	181,43	
805,411629	181,428	
813,419869	181,43	
821,621459	181,433	
829,811432	181,441	
838,193689	-178,541	
846,581836	-178,549	
854,957727	-178,554	
863,530577	-178,538	
872,092383	-178,534	
880,845737	-178,545	
889,603388	-178,546	
898,545575	-178,541	
907,480401	-178,513	
916,612172	181,51	
925,736967	181,469	
935,053838	181,524	
944,363937	181,524	
953,86613	181,53	
963,362548	181,559	
973,048661	181,538	
982,739278	181,51	
992,606494	-178,444	
1002,482001	-178,478	
1012,539819	-178,46	
1022,60009	-178,432	
1032,835225	-178,415	
1043,275309	-178,436	
1053,713625	-178,456	
1064,135282	181,562	
1074,751592	181,57	
1085,55269	181,582	
1096,361947	181,58	
1107,350295	181,581	
1118,528188	181,602	
1129,697162	181,619	
1140,874042	-178,353	
1152,426505	-178,397	
1163,969381	-178,399	
1175,518699	-178,401	
1187,255563	-178,368	
1199,170899	-178,325	
1211,106771	-178,367	
1223,202098	181,666	
1235,506153	181,654	
1247,793915	181,691	
1260,274287	181,682	
1272,935194	181,672	
1285,600359	181,705	
1298,459006	-178,308	
1311,498373	-178,264	
1324,535336	-178,269	
1337,948535	-178,279	
1351,175524	-178,246	
1364,768944	181,755	
1378,365093	181,742	
1392,145302	181,808	
1406,120696	181,769	
1420,087188	181,774	
1434,434075	181,823	
1448,7726	-178,201	
1463,302878	-178,199	
1477,832428	-178,148	
1492,544375	-178,18	
1507,630145	-178,153	
1522,530141	181,829	
1537,809109	181,879	
1553,265286	181,861	
1568,732823	181,86	
